product_id,product_name
98874,Green Zucchini
495058,Conscious Food Gir Natural Cow Ghee - Pack of 2
490456,Gangaur Superfine Maida - Pack of 2
23694,Pillsbury Chakki Fresh Atta -10 Kg
475374,SOVI Multi-Surface Safe Floor Cleaner (The Clean Scent) - Pack of 2
485277,Colgate Batman Bubble Fruit Flavour Baby Toothpaste (6+ Years) - Pack of 2
492371,The Ordinary. Glycolic Acid 7% Toning Solution
61527,Laxmi Bhog Atta
16747,Cornitos Barbeque Nachos
380886,Chheda's Salt-N-Pepper Banana Chips
425811,Snickers Family Treats Chocolate Share Bags
485536,Tata Tea Agni Special Blend Tea - Pack of 2
487450,Lipton Darjeeling Tea - Pack of 2
496197,Valrhona Caramelia Milk Chocolate Bar (Crunchy Pearls)
445819,Dove Pink Rosa Bathing Soap - Buy 4 Get 1 Free
10729,Dabur 100% Pure Honey
992,Dettol Hand Sanitizer
488746,The London Essence co. Original Indian Tonic Water - Pack of 2
489513,Indica DIY Easy Hair Colour (Natural Black) - Pack of 2
429726,Gopal Masala Bori
477222,Maybelline New York Fit Me 115 Ivory Compact Powder
475382,To Be Honest Sweet Ripe Banana Chips with Amchur & Chilli - Pack of 2
294650,Priya Amla Pickle
461885,Society Haldi Doodh Mix
486861,Gulab Big Tikoni Mathi - Pack of 2
495324,Let's Try Crunchy Party Mix Namkeen
478978,"Praakritik Organic Black Pepper, Whole"
21824,Barilla Farfalle Pasta
207654,Priya Exotic Coriander Pickle (Without Garlic)
482973,Pass Pass Minty Mix Mouth Freshener - Pack of 2
476701,Gainda G- Kleen Disinfectant Surface & Floor Cleaner (Citrus Power)
485539,Brooke Bond Taj Mahal Tea (1 kg) - Pack of 2
472074,Bombay Shaving Company Apple Cider Vinegar Shaving Foam
484776,Peer Bitter Lemon Tonic Water - Pack of 4
485430,Godrej Expert Rich Creme Hair Colour (Natural Black (1.00)) - Pack of 2
496792,Spinz Enchante Perfumed Women's Deodorant (International Fragrances) - Buy 2 Get 1 Free
104896,Naga Maida
25112,Dabur Badam Multipurpose Oil
476609,Nescafe Classic Instant Coffee - (Pack of 50 Sachet)
409028,Singer Hair Dryer (Black & Brown)
479767,ASOP 100% Wheat Flour / Atta
97250,Maaza Mango Drink 1.2 l
475796,Clinique Active Id Cartridge Concentrate (Uneven Skin Texture)
237680,Lady Finger
496278,White Tone Pearl Face Powder
484633,Patanjali Herbo Wash Detergent Bar - Pack of 2
482836,Walkers Oatflakes & Cranberry Biscuit
485427,Godrej Expert Rich Creme Hair Colour (Black Brown) - Pack of 2
489898,Godrej Expert Rich Creme Hair Colour (Natural Black) - Pack of 2
455916,Emami Healthy & Tasty Smart Balance Nutri Soya Chunks
341597,Dettol Liquid Hand Wash Refill Bottle - Pack of 2
19664,Glow & Lovely Advanced Multi Vitamin Face Cream
387477,Too Yumm Multigrain Dahi Papdi Chaat Crisps
21639,Organic India Tulsi Ginger Tea Bags
490593,Plum Olive & Macadamia Mega Moisturizing Hair Mask (Pack of 2)
358756,Vim Lemon Dishwash Gel - Pack of 2
492002,Wrigley's Hubba Bubba Seriously Strawberry Chewing Gum - Pack of 3
215471,Real Fruit Power Orange Juice - Pack of 2
479495,Lo! Foods Nutri Smart Namkeen Mixture
493345,Aroma Magic Soothing Antibacterial Cream
407563,O'range Anti Dandruff Shampoo
404756,Britannia Roasted Garlic Cheese Spread - Pack of 2
44723,Suhana Mutton Gravy Instant Mix
379473,Cadbury Dairy Milk Roast Almond Chocolate Bar - Pack of 2
485616,Rajdhani Besan - Pack of 2
492746,Fortune 100% Chana Dal Besan - Pack of 3
476107,Vicks Inhaler (Instant Relief From Blocked Nose)
96534,Forest Bitter Gourd (Karela)
478065,Scotch Brite - Bottle Brush
487596,"epigamia Unsweetened Almond Milk (Lactose-Free, Plant-Based / Vegan / Milk Alternative) - Pack of 2"
489135,Colombian Brew Coffee 3 in 1 Instant Coffee Premix (Cappuccino) - Pack of 2
176532,Sebamed Anti Dry Revitalizing Shampoo
13367,American Garden Baked Beans in Tomato Sauce
393,Surf Excel Top Load Matic Detergent Powder
492630,Town Grocer Besan/Gram Flour - Pack of 2
478810,Dabur Vita Chocolaty Health Drink
464023,Protinex Adults Nutritional and Health Drink (Chocolate Flavour) - Pack of 2
15290,Pepsi New Edition Music & Dance Soft Drink
119698,Farlin Feeding Bottle Cover
477410,Timios Multi Millet Dosa Mix Ready to Cook - Pack of 2
485167,Classic Connect Cigarette (20 pieces)
485166,Four Square Crush Cigarette (10 pieces)
484655,Park Avenue Cool Blue After Shave Lotion - Pack of 2
421721,Mango
482781,Rin Professional Laundary Detergent Powder
425165,Rage Coffee Irish Hazelnut Instant Flavoured Coffee
489748,Vega Graduated Dressing Comb - Pack of 2
437168,"L'Oreal Paris Total Repair 5 Serum, Shampoo & Conditioner"
396140,Free Aashirvaad Atta with Pedigree Meat & Rice Dog Dry Food (Adult)
124485,Omsom Parboiled Ponni Rice
494128,Sri Anmol Good Life Steam Kolam Rice - Pack of 2
392235,Surf Excel Top Load Matic Liquid Detergent
485340,Colgate Smiles Barbie Extra Soft Ages 5+ Baby Toothbrush - Pack of 2
